0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
와 프로틴무알콜이요???? 이건 진짜 혁명인데요…? 질러야겠다 와,와ㅡ 무알콜 프로틴 맥주! 마시면 인님같은 삼두 되나요?ㅎㅎ,와 프로틴맥주라닠ㅋㅋㅋㅋㅋㅋ프로틴으로 안나오는게 없네요???? 득근하기 좋은 세상,캬 진짜 쭌님 팔은 정말 볼때마다 명불허전…????????,무알콜맥주 거기다가 제로.. 와우.. 저도먹어봐야겟어용 ㅎㅎ,미쳤다진짜ㅋㅋㅋㅋㅋㅋㅋㅋ소주+프로틴 콜라보는 출시안되나여???,삼두가...말발굽을 박아놓으셨네요??,헐... 대박 ㅋㅋ 뭔가했더니  요새는 다양한식품들이 나오네요??,와 대박이다.. 무알콜은 들어봤어도 프로틴 맥주는 생각도 못함..????,얼굴보다 팔이 더 크다구요??????,제품후기와 삼두 그 사이 어딘가????,와....!! 무알콜인데 프로틴까지!! 당장 구매 각이네용!????,어마어마한 삼두만큼 단백질가득한 프로틴맥주네요 ????,프로틴 맥주는 상상도 못했는 걸요 ! ㅋㅋㅋㅋㅋ 주변 헬스인들에게도 추천해줘야겠습니다 ????,잔짜 미쳤다ㅋㅋㅋㅋㅋㅋㅋ당장 구매해야짛ㅎㅎ?? 그와중에 오늘 삼두는 더 강력하시네요????
아이고 장염이신데 운동하러 나가셨다고요!!! 멋진 몸매를 가지신 만큼 의지가 투철하시네요!!! 비오는 날 날씨 조심하시고 얼른 회복하시구여~~ 그래야 득근도 뽝뽝 하시죠~~ 홧팅!!,아고 여름철 장염 무섭죠 이제 좀 괜찮으신가요,장염은 좀 나아지셧어요?,헐!! 장염 걸리셨는데도 운동하러 나가시다니 진짜 리스펙입니다!???? 지금은 좀 괜찮으세용????,우와...등이엄청난데 거기에 스트랩까지 도움을.. 더커지시겠네요..,장염 ㅜㅜㅜㅜㅜ진짜 힘든데 ㅜㅜㅜ 요술스트랩 완전 편한데 스트랩 감는 시간 줄여주는 거 너무 좋으다요!! 장염 빨리 다 낫길 바래요 쭌님????,쭈니님이 쓰시는 스트랩은 따라 써 보고 싶네여..! 으악 장염 ?? 이번쥬는 디로딩이라 생각하고 주말에 푹 쉬세요..!??,운동 못한 만큼 근회복 했으리라 믿어주자구용 진짜 속 아프고 머리 아픈 건 답이 없어요 무기력해져서?? 컨디션 회복 잘하시길??????,저도 현업때문에 운동 못하는데 너무 속이 상할다름입니다??,와.. 한마바키 실사판이라는 댓글에 공감 500번합니다.. ㅎㄷㄷ 스트랩도 완전 혹하네요!! ??,야무진 스트랩보니 등이 더 커지시겠구만요????,장염으로 힘드셨겠어요 ㅠㅠ 다시 운동하러 나오시길 잘하셨어요????,헉 저도 오늘 등 했어요! 비가 와도 꺾이지 않는 마음..,요술팔찌!!! 찹! 말아주는 맛이지용오늘도 비가 계속 온다는데 빗길 조심하시구 좋은 바루 보내세요??,스트랩 안하는 이유는 꼼지락꼼지락 되는거 때문인데 이건 그럴 필요가 없네요!! ??????
헉 장염이라니 ㅜㅜ여름이라 음식 조심해야겠어요 언능 나아서 운동갑시다아??,장염은 진짜 완전 근손실병인듯요ㅠㅜ빨리 회복하십시오????,앗 꿀팁 대방출~?? 위가슴 쭉쭉 먹여보겠습니다?? 장염 얼른 나으세요~~~,운동하는법 굿굿 ㅎㅎㅎ너무 잘하시는데여??,팩댁으로 상.중.하를 할 수 있을줄은 몰랐네요!????,오 이렇게 윗가슴은 생각 못했는데!  역시 헬쭌님!  하나 줍줍해가도 될까요??,건강 잘 챙기세요 쭈니님~~~!!! 언넝 쾌차하세요????,보고 있어도 가슴빡에 힘 빡!들어가네요????,크으.,??,??,같은 머신에서 부위도 여러가지를 할 수 있다니 진짜 꿀팁입니다. ????,??,@l2._.2i 기,
카키색 파란색 모두 잘 어울리시는데여??!???? 저도 등이랑 후면 어깨가 약점이어서 항상 많이 신경쓰면서 운동중이에영... 요새 매일 어깨는 조져주려고 하고 있습니다!???? 고생 많으셨어용!??,와.. 어케하면 광배가 저렇게 크게..????열심히하겠습니다,"어깨에 제 코코넛 있는 거 같은데,,, 다시 돌려주세요…","음,,,오늘은 ??깃털 모드에요~?~~? 어떻게 몸을 이렇게 가볍게 드시는지,,,, 힘이 얼마나 좋으신거애요 (??????)? 진짜 최고!!! ????",어머 퍼스널 컬러가 어떻게 되시죵? 파랑파랑이 잘 어울리시네요??????,나시도 스티커도 센스가 장난아니네요 ??????,진짜 광배로 날 수 있겠는데요?!????,와 금요일도 등어깨 지대로 조지신 인님??????,신상 잘 어울리십니다!,풀업 볼때마다 지리고갑니다????,지금보다 등이 더 조아지면 반칙이죵??,와. .허리 저보다 가느신 듯. . . .이건진짜 수학시간보던 역삼각형 그잡채??????,진짜 핼쭌님 몸상태 장난 없으십니다 ????????,헬쭌님 운동하고 피드 쓰십쇼 ??????,아닝!!.....골격이 작고 어좁이 체형이면....이거 저는 그냥...산산조각인뎅..!!
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
진짜 제 상황아니냐구요. ????,아 잘생긴사람이 왜그래요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 수건쓰지말라구요 보여주라구요 얼짱이신거!!!!!,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아나 찍혔을때 모습 빵 터졌어요..! 운동계정 개그는 제가 맡을테니… 몸짱영역 지켜주세여…,넘 쭌님 귀여운데요??,ㅋㅋㅋㅋㅋㅋ 이거 진짜 인정 …,아앗ㅋㅋㅋ 완전 동감합니다ㅋㅋㅋ???? 오운완컷도 포징연습이죠ㅋ,ㅋㅋㅋㅋㅋㅋㅋ이번 피드 재미도 제대로 챙기셨습니다??????,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ㅋㅋㅋㅋㅋㅋㅋㅋㅋ아진짜 ㅋㅋㅋㅋㅋ쮸니쌤 너무 웃겨요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,ㅋㅋㅋㅋㅋㅋㅋ쭌님 개그감까지 가져가시면...,ㅋㅋㅋ넘 욱겨요????,??,ㅋㅋㅋㅋㅋ영상 너무 잘만드시네욬ㅋㅋㅋ????ㅋㅋㅋ,안되… 몸짱캐릭으로 남아주세요 개그캐로 가심안되요????,.공감??,쭌님은 이렇게 찌그려뜨려야 찌그러지자나요!??
더워져서그런가 저도 운동이 막 루즈해지네요ㅜㅋㅋ그래도 해야죠!! 화이팅입니다!!??,여전하시군요?? 더 커지신 거 같기도 하고요????,"딱 그럴때 진짜 조심해야해요?? 뭔가 아,아플거 같은데? 그러면 꼭 다치더라고요..?",태닝 안 한 스킨 근질이 이 정도면 태닝했을 때는 어마어마 하겠구나란 생각을 했습니다. ????,오와???? 저세상근질??????,와. . 갓바디에 입이 안다물어지. . ??????????,콩국슈 저도 넘 좋아해뇽??,아니 어깨가.. 화가 단단히 났으니 콩국수로 달래줘야겠어요??,진짜한마바키입니답^^ 운동은 쭈니닝처럼????,와 대대대박…?? 노력이 뭔지 몸으로 말하시는 중…?? ??????,우와!!! 몸 진짜 대박이시네요?????? 자극 만땅 받고 가용,운동복이 뭔들 다 찰떡소화! 몸 너무 멋있어요??????,"쭈니쨈,,,,근질이,,,,진짜 미쵸떵요,,,,,, 와 진짜 멋이떠,,,,",오 오렌지컬러도 넘 예쁠거같네요옹 ㅎㅎ 오늘도 고생하셧습니당 ????,고립 고립… 보는것만으로도 대리만족입니다 항상 ????
남자친구도 두건쓰고 운동하는데 두건쓰는 이유가… 뭘까요~~~~땀이안흘러서 좋다는데 맞나요~~~~??,우와........워팍신발을 헬장에서 활용하시는 쭌님은 진짜 헬짱인정.....근데 진짜 접지력 좋을거같은데요? 고생하셨습니다아 ????,여기서 다리가 더 커지시다니??,역시 남자는 하체죠 ???? 쭌님다리를 보니 제 다리가 빈약하게 느껴지는건 왜일까요 ????,ㅋㅋㅋㅋ세상에 워터파크에서 헬스클럽으로 왔균뇨????하기사 근대 접지력 그것도 좋을거같긴하네요진짜로?????,오늘 하체인데 자극 받고 가요????,역시 방정리하다보묜 은근 보물단지가 나온다니까요신발 겟또 넘나 댕이득이네여작은 골격…이라.. 작은 골격 보고싶음 제  오운완 사진 보심 될듯,티도이쁘고 다리도이쁘고? ????,스쿼트할때 완전 자세가 흐트러짐없이 완벽해여??,오우 전신 모습보니 더 강렬하십니다!!^^ 역시 하체는 오버핏이져!!,오호...? 다리가 좀더 커지신거 같아요????????????????,쭌님 반바지 사진 처음보는 것 같은데요… 어우 하체까지 어마무시하셨네…,하체데이 금요일이면 빡십니다. 수고하셨습니다????,불금에 하체라 완전 딱입니다???? 2차전 가시죠!!!! 아자자??,안본 사이 하체가 강력해지셨네요??
운동 영상 올려주시는 거 너무 좋은데 무게랑 횟수까지 적어서 올려주시면 더 동기부여되고 보는사람도 더 많아질것 같아요!!,와 덤벨 무게 진짜???? 저도 쉽게 들어올릴수 있으실듯..????,같이 또 운동하고싶네요??,새벽운동?????? 대단합니다 아침에 몸이 덜풀려서 쉽지 안던데??  대단합니다??,헬쭌쓰 역시 몸상테 진짜 겁내 강력하셔용 …!!! ????????,와???? 근질대장님????,아니 안그래도 왕팔인데 요즘 더 두꺼워지는 느낌이에요!!????,프레스할때 가슴 올라오는거 너무 잘보이네요~?? 쭌님 운동 진짜 잘하신다~??,이두가 정말 좋으시다고 생각했는데 수행능력이 남다르셨군요 ??,혹시 키가 어떻게 되시나요..?,어우 근질 맛있다 맛있어요??,우어어엉 팔에 지렁이들 오집니다용????,몸이 더 멋있어지네용 ????,우와 파랑색원판도 신기하고 강력한 팔도신기합니다 ??????,오늘도 미친 근질…????
진짜 궁금한데 지방이 어디에 있으신지 코멘트 좀 해주세요… ㅋㅋㅋ 지방이라곤 안보여잇??????,저도 더울때 찌는거같아요?? 맨날 겨울에만 다이어트하는 거같은 느낌입니닷,안녕하세요 헬쭌님 혹시 바지정보도 알수있을까요:)? 정말이쁩니다!!,저는 가슴 어깨 했는데 ㅎㅎ 등태기어태기 좀가지셔도 ..ㅜㅜ 그뉵이 넘멋진걸여,지방이 어뒤있다는건가용 머싯다??,아니 지방이 어디있죠??? 항상 멋지십니당??,쭌님 피드 오랜만에 보는 것 같은데ㅠㅠ몸은 더 좋아지셨구!!!!!!! 도대체 지방이 어디있는거에요오??,저도요즘자꾸찌는데요?? 먹는 건 못 참아여 허허..,오! 체중이 조금 늘었군요! 근육량 증가겠네요????,쭌님에게 지방이…???,지방이 어디있죠? 안본사이 몸이 더 좋아지신거 같애요??,광배로 꽂아버리시는게 보이는데요????,오 예쁘다... 옷,와 오늘 거의 썬더볼튼데요ㅋㅋㅋ오늘도 강력하십니다????,
선생님 몸무게의 한 2.5배 더 드시는거 같습니다  대단하시군요 ㅎㄷㄷ,월요일 하체는 국룰인가봐요 헬스장에 하체하는분들많더라고요ㅋㅋㅋ전 그 사이에서 등했습니다??,중량 이미 살벌하게 치시는것 같은데…???? 오늘도 고생하셨슴다,맞아요 하체운동 중량은 진짜 잘 안 오릅니다. 그래도 수고하셨습니다????,저도..바지 버릴게 너무 많아서 유지하렵니다.. 또르르륵..,온늘도 쭈니쌤 덕분에 운동 욕구 뿜뿜 하고 갑니데이이이이 ??????,맨발 투혼 멋찝니다???? 월하체 수고하셨어요??,앗 비오면 저기압이라 중량 못치는데^^ 이러구 삽니다,하체 너무 힘들어요..??자극받고갑니다 자주 소통해요!,하체 뿌시기!!???? 저도 얼른 하체가 잼있어져야하는데?? 내일도 퐛팅 입니다??,언제나 ㅏ칼각같은자세로 하시는 스쾃 배워갑니다??,저도 그 시절이 너무 후회되네요 ㅋㅋㅋㅋ 극공감입니다??????,저 요즘 발목 유연성땜에 맨발로하는데 좋더라구요!! 쭌님 하체도짱????,??,??Bro. 운동후 몸관리는 우리와 함께가자 !!!! ?? 근육릴렉싱 바디워시.
,,,,,,,,,,,,,,
옷에서 군대음식까지ㅋㅋㅋㅋㅋㅋ생각의 흐름이 뭔가 저같네용??,진짜 팔 대박..?? 공불에 빅팜 잊지못하죠 ㅋㅋㅋㅋㅋ,크.. 아몬드에 말발굽.. 여전하시군요!????,쭌님 연휴 행복하게 보내세요!!????,와 새벽운동이라니?? 역시 대단하세요??,터질려고 하는데여??????,진짜 핼쭌님 몸상태 개미쳤습니대 !!!! ??????,새벽운동이 한적하고 시원하니 또 다른 매력이있죠?? 쭌님도 6월 파이탱??,모든 운동인들의 워너비 몸매…????,앗… 공화춘+불닭 맛있나용??? 갑자기 해보고 싶네요…ㅎ 그나저나 팔 근육 좡난 아니시네요…??,크흐흐 진짜 운동 깔끔하게 잘하셔 ?????? 전 공화춘에 간짬뽕이요 ??????,삼두가 역시 명품?????? 주4일 해도 이렇게 어마무시하군요..?,오메….이게 사람팔입니까 장두 근신경계 끝까지 다 열어버린 끝판왕,ㅋㅋㅋ 생각나서 바로 먹엇다니 아주 좋습니다더더더 부지런해야 계획대로 되드라구여,
오 저같은 드랍러버는 완전 꿀이네요??,이거 하면 진짜 지옥 맛보겠네요..??,오우 잘쓰고계시네요ㅋㅋㅋ진짜 사고싶지만 원래 고중량을 못해서 참겠읍니다??,으와 저런 핀이 있는거 처음 알게 되었어요!!,1세트로 어깨 털어버리기 호달달!! 개꿀템입니다!!??,우와 완전꿀팁??,개꿀템 상급노하우 감사합니다…????,드랍세트핀 까지 쓰시다니... 진짜 운동변태댜????????,와 드랍세트핀은 첨보는데 혼자서도 끝까지 탈탈 털 수 있겠네요?? 세상 요술물건이다아??,진짜 혼운러에게 꿀템??,드랍세트.. 정신력이 대단하십니다????,와...그냥 끝나겠는데요????,안그래도 드랍세트핀 계속 고민중인데!! 쭈니님피드보니 지름신강림중!!,와우… 저렇게하면 저도 장조림 가질 수 있나요?!??,어머 넘 신박한데욤??
마사지건으로 몸좀풀고싶습니당 ??,20단계라니 ㅋㅋㅋ 연휴에 딱 좋은 협찬인데요 ???? 푹 쉬시고 다시 또 힘차게 달리셔요 쭌님????,진짜 마사지건 완전 시원하죠???? 중독머신입니다??,마사지건 ARMR이네요 보기만 해도 시원. 좋은제품 메모??,우워어어어엉???? 마사지건 협찬이라니????,와….랄뚝 넘사벽정말…부러워용,와 진짜 엄청 포스잇어보이는 마사지건이네요 ??????,강려크한 근육 갖고계실수록 마사지 중요하죠!! ????,와 단단하고 시원해보이네요??,기계도 좋지만 사람손 따라올건 없더라구용 ㅎㅎ 항상 안전 득근하세요????,20단계 놀랍네요????,아...주 잠깐. 총??  포즈가 굿입니다??????,??,쭈니님은 셀룰라이트 제거 효과는 마니 못보시겠군뇨 ㅋㅎ,20단계까지...쭈니님처럼 강력하다..
,,,,,,,,,,,,,,
이건진짜 먹고싶더라구요^^ 바로흡수될것깉은너낌,크흐흐흐 서비푸드 닭가슴살 단백질 쉐이크 완전 굿이쥬 크크흐흫 그나저나 모델이 다 하셨긔??????,꺅 쭌님 늦었지만 생일 넘넘 축하드립니다!!!!!!! 생일에 단백질을 원하시다니..진짜 헬짱맞자나요............... 서비푸드 파우더도 궁금했는데! 쭌님이 괜찮다고 하시니 확 사먹고 싶네요 ????,닭찌파우더라니ㅎㅎ 물건이네요?? 내돈내산 들어갑니다ㅎㅎㅎ??,이두에 가려서 닭이 안보여요??,쭌님!!! 늦었지만 생일 축하드려요!!!?? 맛난거 많이드셨쬬!??????,이두에 가려서 닭이 안보여요??,오 꼬소함이 느껴지는 맛 궁금하네요. ????,흔들때도. . . . . . . . 멋지시네 ????????,유청이 없는 제품인가요~?,오 이거 먹어보고 싶네요!! 맛있나요?!??,늦었지만 생일축하합니다 헬쭌님??,헐 생일축하드립니다 ㅎㅎ 좋아보이는걸요? ㅎㅎ,저 팔로 쉐킷쉐킷 하면 가루 하나도 안남고 다 섞이겠다????,맛난선물받으셨군여??
진짜 반팔 짱짱한걸로 여러개 사두고 입으면 딱이져 여름은,미국 스탠다드 나 너무 조와하는데?? 쭌님이 입으시니 미쿡스탠다드 그 잡채????????,크흐흫 모델이 탑급이니 뭘입어도 간지 작살이긔 ????????????????,오버핏인데도 머슬티처럼 넘 멋지네요??,안어울리는 티셔츠가 없죠 쭌님은????????????,몸이 사기라서 다 잘어울리시네요????,바지 이쁘다요,요즘 진짜 운동할 때 나시나 반팔 아니면 못입겠어요..??????,뭘입어도 다 잘어울리셔서 옷입을때 고민이없겠어요ㅋㅋ패션은 몸이다??,오!! 뭔가 옷이 프리해보이고 딱!운동인들이 좋아할 만한 핏인데용!ㅎㅎ,옷이 쭌님이랑 찰떡??,너무더워요 ㅎㅎ 옷..너무찰떡인데요 ㅎㅎ 인물이살렸다????,쭈니쌤 부러우어요??,너무 힙한거 아닙니까!!!!????ㅋㅋㅋ,크.. 오버핏 괜찮은 거 찾기가 그렇게 힘들더라구요ㅠ 좋아 보입니다 ????
캬.. 로이더로 의심받다니.. 네츄럴로 성공하셨네요 ??,열심히 안해본사람들은 쉽게말하죠.. 근데  그런 댓글 받으면 오히려 기쁠거같아요ㅋㅋㅋㅋㅋㅋ,"쭌님 그냥 굵은건데여,,, 전 안되네여??",와이건 저장각이다!!^^ 그나저나약은어디꺼쓰나니 최고의칭찬,로이더다!! 최고의 칭찬인것으로 ??????아니 댓글을 저렇게 막 다는군여...,굵은팔을 준비한다 힘을준다 빡!!????,오 꿀팁이네요ㅋㅋㅋ로이더냐는 댓글 저도 달려봤으먄 좋겠네요ㅋㅋㅋㅋ부럽읍니다,그냥 굵은거 아닌가여…,준비물: 좋은 몸..(?),ㅎㅎ 이거 쭌님만 되는 팁 같은데요????,이건 헬쭌님이 진짜 팔이 좋아서 잘 나오는거 아닐까요?? ??,쭌님은 원래 그냥 굵으신건데??????,오호 꿀팁 감사합니다 역시 쭈니님???? 악플은 또 다른 팬덤????,ㅇㅁㅇ….! 따라했는데 안됩니다 쭌님!!!??굵어보이게 찍는 방법 : 그냥 굵으면 됨????저런 무지성 댓글 받을만큼 쭌님 몸이 좋단 뜻이겠져!!!!???????????????? 갓-벽~~~,네츄럴로써의 최고의 칭찬을 받으셨네요???????? 성공한 네츄럴 빌더????????
4....4시간 운동이요...? 역시 강력하시다...몸도 진짜 넘사 그 자체 쭌님...,ㅋㅋㅋㅋㅋ 4시간 운동 몸 좋은 이유가 있다니깐요 헬쭌님 따라갈려고 10시간 해야할듯??,오…4시간이요…? 몸이 박살나겠는걸요 저라면…?????,와.. 진짜.. 근질 사이즈 선명도 부족한게 없으십니다.. 태닝은 생각없으신가요?,운태기는 왔지만 몸은 살벌함 그자체?? 친한동생과 파운으로 운태기 다 날리셨기를,피지컬 사기케의 표본??????태닝이 필요없는 절대적 몸이네요??,4시간요….? 우와….. 진짜 헬쭌이라는 별명이 딱이신 쭌님! 넘 고생하셨습니다아??????,와 10개월에 100키로.. 타고나셨나봐요??,하… 팔 확 가져가고싶네 츄르르르릅????,ㅎㅎㅎ 인님 아무나 못따라갑니다????????,"10개월만에 벤치100 엄청 나시네요,,역시 쭌님한테 자극받으면 쉽게 가능한가보네요??",와 상탈하시니까 진짜 눈호강 제대로 합니다 ????????,크흐...샘두 새퍼 폼 뮈찼군..??????????,와~ 태닝까지하시면 그냥 작살날거 같아요~????,팔완성도 미쳤다…더 키울수가 있군요 여기서
오늘 날씨가 여름을 방불케 할 정도로 덥더라고요ㅠㅠ! 그래도 헬스장 나오셔서 운동하시는 의지가 날씨보다 더 뜨거우시네요?? 그나저나... 여름 준비 필요 없으실 거 같은데요...?,저도 언더그립하면 또 자극이 새롭더라구여 역시 운동은 다양하게??,와… 저의 등이 도망갔었는데... 여기있었군요 ??????,어제 반팔 반바지에 야간러닝 했는데 날이 진짜 많이 더워졌다 싶더라고요…?? 여름 관리 화이팅??????,진짜 더운데 돼지라 나만 더운가 싶었는데 다행히 그건 아니였나봐요??,풀업하시다 광배로 날아가실듯??,온더그립=온더아머?? 저도 언더그립은 자주 안하는데 다양하게 접근해 봐야겠어요??,바지 어디껀가요 너무 맘에들어요 알려주심숑!!,와 이것이 어깨로구나!!! 나도 언더그립 낼 해봐야징 ??????,옷이얇아져서 다이어트했는데..몸도얇아졌어요... 어깨 ㅜㅜㅜ고민이많습니단,이제 진짜 너무 더워요.. 이제 헬쭌님 상탈도 볼수 있는건가요?? ㅎㅎ,사이즈가 더 커진거 같아요????,아 언더로 잡아서 메모메모 낼 등인데 꼭 해봐야갰슴니당????????,등 운동이 그립을 어떻게 잡냐에 따라서 자극이 다르게 오는게 넘 신기해서 그립 바꾸다보면 한 운동 계속 하게되드라구여  야무지다 야무저,등이 전보다 더 넓어지셨…????
